epoch,train_mse,val_mae,best_val_mae_so_far
1,0.383921004967256,0.48577046237493815,0.48577046237493815
2,0.3610568940639496,0.4824700073191994,0.4824700073191994
3,0.3624723336913369,0.48768806928082514,0.4824700073191994
4,0.35741002613847905,0.4852966164287768,0.4824700073191994
5,0.35953513112935154,0.4845996357892689,0.4824700073191994
6,0.3573038412766023,0.48698464349696513,0.4824700073191994
7,0.35728344429623,0.48346853099371256,0.4824700073191994
8,0.35968949415467,0.48974645294641195,0.4824700073191994
9,0.35673666271296417,0.4918691641406009,0.4824700073191994
10,0.35311281274665485,0.4923782301576514,0.4824700073191994
11,0.3485752623189579,0.5016469892702604,0.4824700073191994
12,0.3479766003110192,0.48968364847333806,0.4824700073191994
13,0.34741028140891683,0.497995420506126,0.4824700073191994
14,0.3468827765096318,0.49124374044568914,0.4824700073191994
15,0.34800659851594407,0.4928737047471498,0.4824700073191994
16,0.3482509415258061,0.49904626764749227,0.4824700073191994
17,0.34056068442084575,0.5041859244045458,0.4824700073191994
18,0.339947493780743,0.4942322843953183,0.4824700073191994
19,0.34438515251333063,0.48984109884814214,0.4824700073191994
20,0.34607428935441104,0.49751810023659154,0.4824700073191994
21,0.3325590727004138,0.5022904606241929,0.4824700073191994
22,0.34488492580977353,0.5003839558676669,0.4824700073191994
23,0.3321087807416916,0.5087839961051941,0.4824700073191994
24,0.330143971063874,0.4977683424949646,0.4824700073191994
25,0.3242757962508635,0.49958746370516327,0.4824700073191994
26,0.3295596404509111,0.5042395325083482,0.4824700073191994
27,0.32669556059620597,0.5129225614823794,0.4824700073191994
28,0.3253008230166002,0.5052031906027543,0.4824700073191994
29,0.32398452460765836,0.5124265833904869,0.4824700073191994
30,0.3217254947532307,0.5174879651320609,0.4824700073191994
31,0.3150504152883183,0.5049055877484774,0.4824700073191994
32,0.31996368169784545,0.5305308636866117,0.4824700073191994
33,0.32373924607580357,0.5158874894443312,0.4824700073191994
34,0.31514495177702473,0.5249682272735395,0.4824700073191994
35,0.3110556946559386,0.5117907053545901,0.4824700073191994
36,0.3158575949343768,0.521864464408473,0.4824700073191994
37,0.3078988007523797,0.5177575726258127,0.4824700073191994
38,0.312551687522368,0.5135672029696012,0.4824700073191994
39,0.302539106390693,0.5266223047908983,0.4824700073191994
40,0.3068667284467004,0.5074558258056641,0.4824700073191994
41,0.3084690763191743,0.5249681770801544,0.4824700073191994
42,0.31397049047730186,0.503823027799004,0.4824700073191994
43,0.3005614240061153,0.5266571797822651,0.4824700073191994
44,0.2996984246102246,0.5124924543656801,0.4824700073191994
45,0.30581982758912174,0.5001791872476277,0.4824700073191994
46,0.3066702623258937,0.5097606731088538,0.4824700073191994
47,0.29599549309773876,0.5303025716229489,0.4824700073191994
48,0.29994687979871576,0.520309140807704,0.4824700073191994
49,0.30142534185539593,0.49733500261055796,0.4824700073191994
50,0.29467527026479895,0.5108338986572466,0.4824700073191994
51,0.29209733334454624,0.5130809686685863,0.4824700073191994
52,0.2932944964278828,0.5506755725333565,0.4824700073191994
53,0.29306703968481584,0.5251955891910353,0.4824700073191994
54,0.28875928683714436,0.5444071277191764,0.4824700073191994
55,0.29737616967071184,0.5233611166477203,0.4824700073191994
56,0.2954889955845746,0.5254390961245486,0.4824700073191994
57,0.290028175982562,0.5290277192467138,0.4824700073191994
58,0.29065003286708485,0.5489118742315393,0.4824700073191994
